Datetime;Resolution code;aFRR BE +;mFRR BE SA +;mFRR BE DA +;aFRR BE -;mFRR BE SA -;mFRR BE DA -
2026-03-05T23:45:00+01:00;PT15M;1.431;0.0;0.0;0.0;0.0;0.0
2026-03-05T23:30:00+01:00;PT15M;0.052;0.0;0.0;0.001;0.0;0.0
2026-03-05T23:15:00+01:00;PT15M;4.243;0.0;0.0;0.012;0.0;0.0
2026-03-05T23:00:00+01:00;PT15M;3.986;0.0;0.0;0.0;0.0;0.0
2026-03-05T22:45:00+01:00;PT15M;2.934;0.0;0.0;0.005;0.0;0.0
2026-03-05T22:30:00+01:00;PT15M;4.527;0.0;0.0;0.0;0.0;0.0
2026-03-05T22:15:00+01:00;PT15M;4.829;50.0;0.0;0.023;0.0;0.0
2026-03-05T22:00:00+01:00;PT15M;28.083;0.0;0.0;4.522;0.0;0.0
2026-03-05T21:45:00+01:00;PT15M;0.0;0.0;0.0;4.123;0.0;0.0
2026-03-05T21:30:00+01:00;PT15M;0.024;0.0;0.0;0.299;0.0;0.0
2026-03-05T21:15:00+01:00;PT15M;0.547;0.0;0.0;1.061;0.0;0.0
2026-03-05T21:00:00+01:00;PT15M;1.296;0.0;0.0;0.019;0.0;0.0
2026-03-05T20:45:00+01:00;PT15M;9.868;82.0;0.0;0.0;0.0;0.0
2026-03-05T20:30:00+01:00;PT15M;17.427;0.0;0.0;0.0;0.0;0.0
2026-03-05T20:15:00+01:00;PT15M;32.359;0.0;0.0;0.0;0.0;0.0
2026-03-05T20:00:00+01:00;PT15M;29.258;0.0;0.0;0.001;0.0;0.0
2026-03-05T19:45:00+01:00;PT15M;0.0;0.0;0.0;1.559;0.0;0.0
2026-03-05T19:30:00+01:00;PT15M;0.0;0.0;0.0;0.11;0.0;0.0
2026-03-05T19:15:00+01:00;PT15M;0.0;0.0;0.0;0.173;0.0;0.0
2026-03-05T19:00:00+01:00;PT15M;0.001;0.0;0.0;0.001;0.0;0.0
2026-03-05T18:45:00+01:00;PT15M;1.369;0.0;0.0;0.0;0.0;0.0
2026-03-05T18:30:00+01:00;PT15M;0.058;0.0;0.0;0.0;0.0;0.0
2026-03-05T18:15:00+01:00;PT15M;0.0;0.0;0.0;0.0;0.0;0.0
2026-03-05T18:00:00+01:00;PT15M;0.0;200.0;0.0;3.656;0.0;0.0
2026-03-05T17:45:00+01:00;PT15M;3.092;248.0;0.0;0.0;0.0;0.0
2026-03-05T17:30:00+01:00;PT15M;16.022;150.0;0.0;0.0;0.0;0.0
2026-03-05T17:15:00+01:00;PT15M;18.423;0.0;150.0;0.0;0.0;0.0
2026-03-05T17:00:00+01:00;PT15M;18.901;0.0;150.0;0.032;0.0;0.0
2026-03-05T16:45:00+01:00;PT15M;2.721;100.0;0.0;4.133;0.0;0.0
2026-03-05T16:30:00+01:00;PT15M;0.001;100.0;0.0;1.045;0.0;0.0
2026-03-05T16:15:00+01:00;PT15M;0.986;0.0;0.0;0.078;0.0;0.0
2026-03-05T16:00:00+01:00;PT15M;0.075;0.0;0.0;0.37;0.0;0.0
2026-03-05T15:45:00+01:00;PT15M;0.016;0.0;0.0;0.225;0.0;0.0
2026-03-05T15:30:00+01:00;PT15M;3.795;0.0;0.0;6.305;0.0;0.0
2026-03-05T15:15:00+01:00;PT15M;4.181;0.0;0.0;16.291;0.0;0.0
2026-03-05T15:00:00+01:00;PT15M;30.057;0.0;0.0;53.521;0.0;0.0
2026-03-05T14:45:00+01:00;PT15M;34.353;0.0;0.0;2.785;0.0;0.0
2026-03-05T14:30:00+01:00;PT15M;19.999;0.0;0.0;0.0;0.0;0.0
2026-03-05T14:15:00+01:00;PT15M;1.967;0.0;0.0;0.52;0.0;0.0
2026-03-05T14:00:00+01:00;PT15M;0.613;0.0;0.0;0.0;0.0;0.0
2026-03-05T13:45:00+01:00;PT15M;1.195;0.0;0.0;4.18;0.0;0.0
2026-03-05T13:30:00+01:00;PT15M;0.0;0.0;0.0;0.013;0.0;0.0
2026-03-05T13:15:00+01:00;PT15M;0.173;0.0;0.0;0.0;0.0;0.0
2026-03-05T13:00:00+01:00;PT15M;0.013;0.0;0.0;2.72;0.0;0.0
2026-03-05T12:45:00+01:00;PT15M;0.0;0.0;0.0;5.689;0.0;0.0
2026-03-05T12:30:00+01:00;PT15M;0.0;0.0;0.0;13.936;0.0;0.0
2026-03-05T12:15:00+01:00;PT15M;0.382;0.0;0.0;3.821;0.0;0.0
2026-03-05T12:00:00+01:00;PT15M;46.672;0.0;0.0;0.0;0.0;0.0
2026-03-05T11:45:00+01:00;PT15M;0.0;0.0;0.0;4.41;0.0;0.0
2026-03-05T11:30:00+01:00;PT15M;0.0;0.0;0.0;1.283;0.0;0.0
