step,hour,community_load_kw,community_pv_kw,community_net_kw,avg_forecast_mape,ess_soc_pct,ess_power_kw,market_matched_kw,market_trade_count,cumulative_saving_krw
0,0,651.32,0.0,651.32,37.10850690903165,43.4,-50.0,0.0,0,0.0
1,0,660.867,0.0,660.867,36.70540962597854,36.8,-50.0,0.0,0,0.0
2,0,654.45,0.0,654.45,37.003741835012065,30.3,-50.0,0.0,0,0.0
3,0,636.104,0.0,636.104,36.97352005857904,23.7,-50.0,0.0,0,0.0
4,1,632.331,0.0,632.331,36.83932790522486,17.1,-50.0,0.0,0,0.0
5,1,637.904,0.0,637.904,36.354846967406544,10.5,-50.0,0.0,0,0.0
6,1,617.172,0.0,617.172,35.66815964344251,10.0,-50.0,0.0,0,0.0
7,1,620.3870000000001,0.0,620.3870000000001,36.73097501492536,10.0,-50.0,0.0,0,0.0
8,2,589.452,0.0,589.452,33.19740710355869,10.0,-50.0,0.0,0,0.0
9,2,592.971,0.0,592.971,33.06700449238504,10.0,-50.0,0.0,0,0.0
10,2,569.636,0.0,569.636,33.64438612781367,10.0,-50.0,0.0,0,0.0
11,2,551.546,0.0,551.546,33.76115532912235,10.0,-50.0,0.0,0,0.0
12,3,541.754,0.0,541.754,29.139177968590126,10.0,-50.0,0.0,0,0.0
13,3,521.8100000000001,0.0,521.8100000000001,28.553294680043166,10.0,-50.0,0.0,0,0.0
14,3,509.887,0.0,509.887,29.416965675528836,10.0,-50.0,0.0,0,0.0
15,3,496.62399999999997,0.0,496.62399999999997,28.510999906740455,10.0,-50.0,0.0,0,0.0
16,4,485.792,0.0,485.792,23.578076474151114,10.0,-50.0,0.0,0,0.0
17,4,459.254,0.0,459.254,23.231728568769192,10.0,-50.0,0.0,0,0.0
18,4,465.272,0.0,465.272,22.796754237841114,10.0,-50.0,0.0,0,0.0
19,4,452.62,0.0,452.62,24.0628783692328,10.0,-50.0,0.0,0,0.0
20,5,449.2,0.0,449.2,17.204390698803874,10.0,-50.0,0.0,0,0.0
21,5,440.363,0.0,440.363,17.840727350261908,10.0,-50.0,0.0,0,0.0
22,5,439.463,0.0,439.463,16.022826684390672,10.0,-50.0,0.0,0,0.0
23,5,427.223,0.0,427.223,17.164123506309387,10.0,-50.0,0.0,0,0.0
24,6,463.432,0.0,463.432,9.525369307719613,10.0,-50.0,0.0,0,0.0
25,6,463.258,26.471,436.787,10.062436064172422,10.0,-50.0,0.0,0,0.0
26,6,460.546,60.62,399.926,10.433901481667991,10.0,-50.0,0.0,0,0.0
27,6,473.079,94.248,378.831,10.137677864386577,10.0,-50.0,0.0,0,0.0
28,7,525.405,108.51,416.895,4.042914019099392,10.0,-50.0,0.0,0,0.0
29,7,535.545,137.065,398.47999999999996,3.827705069060484,10.0,-50.0,0.0,0,0.0
30,7,548.943,178.962,369.981,3.037819572490867,10.0,-50.0,0.0,0,0.0
31,7,561.037,254.791,306.24600000000004,2.8916708508059195,10.0,-50.0,5.503,3,128.57897075
32,8,617.947,256.11,361.837,34.03570138044567,10.0,-50.0,6.359999999999999,2,281.87936135
33,8,722.619,288.99,433.629,3.529791596006322,10.0,-50.0,0.0,0,281.87936135
34,8,706.452,293.369,413.08299999999997,3.6980801347364847,10.0,-50.0,0.0,0,281.87936135
35,8,730.992,320.255,410.73699999999997,5.297640028455315,10.0,-50.0,0.0,0,281.87936135
36,9,739.626,325.137,414.489,9.292557263149984,10.0,-50.0,0.0,0,281.87936135
37,9,750.876,352.711,398.16499999999996,9.389108344554622,10.0,-50.0,0.0,0,281.87936135
38,9,775.879,370.729,405.15000000000003,10.799162639639952,10.0,-50.0,0.0,0,281.87936135
39,9,812.395,371.695,440.7,9.244192717635471,10.0,-50.0,0.0,0,281.87936135
40,10,824.369,378.185,446.184,13.17683833756453,10.0,-50.0,0.0,0,281.87936135
41,10,826.701,383.397,443.30400000000003,12.844482641865815,10.0,-50.0,0.0,0,281.87936135
42,10,852.464,407.104,445.36000000000007,12.962598248465317,10.0,-50.0,0.0,0,281.87936135
43,10,874.178,462.465,411.713,13.36165339896711,10.0,-50.0,0.0,0,281.87936135
44,11,894.326,419.011,475.315,15.73392157693307,10.0,-50.0,0.0,0,281.87936135
45,11,881.99,420.879,461.111,16.338630182012473,10.0,-50.0,0.0,0,281.87936135
46,11,896.341,452.662,443.67900000000003,16.594074077782984,10.0,-50.0,0.0,0,281.87936135
47,11,892.241,448.636,443.60499999999996,16.457890826564245,10.0,-50.0,0.0,0,281.87936135
48,12,904.399,457.904,446.495,16.83486845786745,10.0,-50.0,0.0,0,281.87936135
49,12,891.816,463.453,428.36300000000006,16.159746942020554,10.0,-50.0,0.0,0,281.87936135
50,12,893.421,488.218,405.20300000000003,16.441454165328533,10.0,-50.0,2.6950000000000074,1,344.8513646750002
51,12,885.786,489.158,396.62799999999993,15.649827953532144,10.0,-50.0,3.1329999999999956,1,418.05469292500004
52,13,867.908,460.38100000000003,407.527,16.90373170737054,10.0,-50.0,0.0,0,418.05469292500004
53,13,865.796,460.43699999999995,405.3590000000001,15.382695962676186,10.0,-50.0,0.0,0,418.05469292500004
54,13,847.821,442.623,405.19800000000004,15.714196787554759,10.0,-50.0,0.0,0,418.05469292500004
55,13,833.0350000000001,424.969,408.0660000000001,16.40640447805334,10.0,-50.0,0.0,0,418.05469292500004
56,14,834.351,407.346,427.005,14.053399257411513,10.0,-50.0,0.0,0,418.05469292500004
57,14,809.642,407.269,402.37300000000005,13.403321900790422,10.0,-50.0,0.0,0,418.05469292500004
58,14,771.832,390.028,381.804,12.274870923206969,10.0,-50.0,0.0,0,418.05469292500004
